hexagon_n,tree_pct,pop_ft,tree_class,tree_class_text,pop_class,pop_class_text,combined_class
0,52.094416317272206,3929.974049556022,2,high,2,high,"high trees, high pop"
1,6.99681149562492,11735.407141538051,0,low,2,high,"low trees, high pop"
2,1.56958333026583,560.8809751817043,0,low,0,low,"low trees, low pop"
3,50.83119100610484,2148.4983951151007,2,high,1,medium,"high trees, medium pop"
4,30.198815375691467,1761.5368517802042,0,low,1,medium,"low trees, medium pop"
5,40.63558692725456,2684.909762691868,1,medium,1,medium,"medium trees, medium pop"
6,14.96722519899983,5246.206422402811,0,low,2,high,"low trees, high pop"
7,45.359725374671775,2342.307973600136,2,high,1,medium,"high trees, medium pop"
8,71.06508085433127,1652.1193322880592,2,high,1,medium,"high trees, medium pop"
9,42.89547715552109,2705.701876497685,1,medium,1,medium,"medium trees, medium pop"
10,29.20496071585748,3165.817760842923,0,low,1,medium,"low trees, medium pop"
11,32.61515388646877,3669.75299776068,1,medium,2,high,"medium trees, high pop"
12,39.126933977566466,6159.254379783073,1,medium,2,high,"medium trees, high pop"
13,56.83887156602246,1168.4155802872983,2,high,0,low,"high trees, low pop"
14,46.64305475683771,4537.486070497474,2,high,2,high,"high trees, high pop"
15,10.46352490243247,13279.129720859904,0,low,2,high,"low trees, high pop"
16,42.73770413389225,4306.452420875136,1,medium,2,high,"medium trees, high pop"
17,29.11975589560899,6028.249623753305,0,low,2,high,"low trees, high pop"
18,36.8507345136959,4230.846031673398,1,medium,2,high,"medium trees, high pop"
19,34.05827859075406,1390.111501215902,1,medium,0,low,"medium trees, low pop"
20,38.018124153823216,4128.922146464797,1,medium,2,high,"medium trees, high pop"
21,72.33503088011591,2240.827079848967,2,high,1,medium,"high trees, medium pop"
22,52.08676095198982,2085.1042410339364,2,high,1,medium,"high trees, medium pop"
23,11.08183749678015,6095.062384698902,0,low,2,high,"low trees, high pop"
24,33.18179746165459,3747.9611312382367,1,medium,2,high,"medium trees, high pop"
25,45.083961458584845,4446.818847510509,1,medium,2,high,"medium trees, high pop"
26,14.361227919885911,1367.711937040441,0,low,0,low,"low trees, low pop"
27,41.76515962983426,2083.405489432987,1,medium,1,medium,"medium trees, medium pop"
28,32.74329800985803,596.5851438268874,1,medium,0,low,"medium trees, low pop"
29,52.26978511842286,858.343510683553,2,high,0,low,"high trees, low pop"
30,46.29958989128898,1382.110714604344,2,high,0,low,"high trees, low pop"
31,49.4842924155027,1874.807929022844,2,high,1,medium,"high trees, medium pop"
32,72.9541351030825,941.4391112623334,2,high,0,low,"high trees, low pop"
33,50.59034460024774,1635.4367044156013,2,high,1,medium,"high trees, medium pop"
34,34.11585901418077,1825.141663360595,1,medium,1,medium,"medium trees, medium pop"
35,42.730127387332715,2197.1430307156897,1,medium,1,medium,"medium trees, medium pop"
36,26.31658835382642,6210.136266169828,0,low,2,high,"low trees, high pop"
37,35.888688906076624,5104.452476897895,1,medium,2,high,"medium trees, high pop"
38,8.816013235277891,10281.049186886055,0,low,2,high,"low trees, high pop"
39,38.21933419941672,5400.961771099706,1,medium,2,high,"medium trees, high pop"
40,19.887082172174182,8814.657812950662,0,low,2,high,"low trees, high pop"
41,45.36713805439229,353.87782809800086,2,high,0,low,"high trees, low pop"
42,53.83145690269471,1758.8600338182612,2,high,1,medium,"high trees, medium pop"
43,0.0,0.0,0,low,0,low,"low trees, low pop"
44,38.71285167202748,2759.1979545712616,1,medium,1,medium,"medium trees, medium pop"
45,61.91940135764056,1785.9298485841823,2,high,1,medium,"high trees, medium pop"
46,7.01501568891619,28065.0233754102,0,low,2,high,"low trees, high pop"
47,48.75753384454269,1903.362278553055,2,high,1,medium,"high trees, medium pop"
48,28.248578607944978,2776.468902203383,0,low,1,medium,"low trees, medium pop"
49,43.87965449174769,3859.963585976059,1,medium,2,high,"medium trees, high pop"
50,26.41280662813834,2787.272697643366,0,low,1,medium,"low trees, medium pop"
51,60.198256185937936,3014.993444168538,2,high,1,medium,"high trees, medium pop"
52,34.71344015979569,2184.2729331220703,1,medium,1,medium,"medium trees, medium pop"
53,26.51079887136382,4101.964991446102,0,low,2,high,"low trees, high pop"
54,56.58080526978959,1734.9009611951512,2,high,1,medium,"high trees, medium pop"
55,48.79500476317155,4525.031264763567,2,high,2,high,"high trees, high pop"
56,17.60223959024401,6753.143240390104,0,low,2,high,"low trees, high pop"
57,17.47154571657136,4440.908598398696,0,low,2,high,"low trees, high pop"
58,55.881522391127056,2145.736613802349,2,high,1,medium,"high trees, medium pop"
59,30.86801825664267,2301.997444353402,0,low,1,medium,"low trees, medium pop"
60,20.65105476122445,5130.71170774469,0,low,2,high,"low trees, high pop"
61,68.91829088603399,2532.42563213481,2,high,1,medium,"high trees, medium pop"
62,35.22234279601083,3531.308536095421,1,medium,2,high,"medium trees, high pop"
63,41.07906236624978,1874.455281029379,1,medium,1,medium,"medium trees, medium pop"
64,63.39478894992248,1373.3922564598497,2,high,0,low,"high trees, low pop"
65,37.315143995744485,1445.7872614646951,1,medium,0,low,"medium trees, low pop"
66,42.15409293514843,4459.799756980527,1,medium,2,high,"medium trees, high pop"
67,56.3402876332326,587.3322284912655,2,high,0,low,"high trees, low pop"
68,0.8597956537497601,61.492280450288,0,low,0,low,"low trees, low pop"
69,30.04845839026699,3467.33824388525,0,low,2,high,"low trees, high pop"
70,22.15868138997821,5151.599104091291,0,low,2,high,"low trees, high pop"
71,61.49188680471259,1706.1694109984476,2,high,1,medium,"high trees, medium pop"
72,50.00570362134135,1564.3832525427874,2,high,0,low,"high trees, low pop"
73,31.642436978996642,278.3142041467058,1,medium,0,low,"medium trees, low pop"
74,35.38536042994191,6872.263380972544,1,medium,2,high,"medium trees, high pop"
75,10.678885576427371,11690.309263969868,0,low,2,high,"low trees, high pop"
76,16.88692448728982,5707.960697956295,0,low,2,high,"low trees, high pop"
77,40.21255763795365,613.9196236490037,1,medium,0,low,"medium trees, low pop"
78,28.83813720396034,1258.336930473558,0,low,0,low,"low trees, low pop"
79,67.164245153327,1128.7886762577532,2,high,0,low,"high trees, low pop"
80,34.17560709260658,352.7159854850349,1,medium,0,low,"medium trees, low pop"
81,0.04771274233729189,50.83741068674215,0,low,0,low,"low trees, low pop"
82,70.32509079454208,836.7814219288967,2,high,0,low,"high trees, low pop"
83,47.38964192402213,1350.890946531486,2,high,0,low,"high trees, low pop"
84,13.43786297950592,5877.245572452161,0,low,2,high,"low trees, high pop"
85,50.731843788407495,1979.233566804727,2,high,1,medium,"high trees, medium pop"
86,8.86013410710228,5595.826729338776,0,low,2,high,"low trees, high pop"
87,35.531117526687325,871.5107497373085,1,medium,0,low,"medium trees, low pop"
88,44.38111820961544,6457.603457944533,1,medium,2,high,"medium trees, high pop"
89,26.5519880571303,3595.94100277654,0,low,2,high,"low trees, high pop"
90,60.16921186274053,1562.5059226430806,2,high,0,low,"high trees, low pop"
91,34.82152448957052,2515.7641748779483,1,medium,1,medium,"medium trees, medium pop"
92,39.332090212548756,5691.5847385399775,1,medium,2,high,"medium trees, high pop"
93,71.62632097342777,776.4831126532425,2,high,0,low,"high trees, low pop"
94,36.23358915589394,2330.283218997932,1,medium,1,medium,"medium trees, medium pop"
95,17.045827829201247,1820.3581100316217,0,low,1,medium,"low trees, medium pop"
96,30.92726396895656,8332.357031674015,0,low,2,high,"low trees, high pop"
97,14.50138500228036,21928.69418012581,0,low,2,high,"low trees, high pop"
98,8.141916746331079,8375.982264606158,0,low,2,high,"low trees, high pop"
99,11.88582371491551,150.82766467074535,0,low,0,low,"low trees, low pop"
100,51.3415080990305,2783.514387210064,2,high,1,medium,"high trees, medium pop"
101,39.49616785035399,4781.962396903892,1,medium,2,high,"medium trees, high pop"
102,56.362284282035745,1639.0380317339934,2,high,1,medium,"high trees, medium pop"
103,37.27869666078724,6870.537420644247,1,medium,2,high,"medium trees, high pop"
104,56.10701115303879,2591.2703711807144,2,high,1,medium,"high trees, medium pop"
105,43.909530371738306,2788.271596985968,1,medium,1,medium,"medium trees, medium pop"
106,25.37856586762834,7916.517728245492,0,low,2,high,"low trees, high pop"
107,20.65791989401109,3858.257437654044,0,low,2,high,"low trees, high pop"
108,26.49868463490978,4486.775983714121,0,low,2,high,"low trees, high pop"
109,41.498395186529756,811.1043694215517,1,medium,0,low,"medium trees, low pop"
110,16.92922180697359,7908.618563124713,0,low,2,high,"low trees, high pop"
111,23.62094289824946,5331.569620130576,0,low,2,high,"low trees, high pop"
112,46.66957289354663,4007.062604207152,2,high,2,high,"high trees, high pop"
113,63.788646970431586,2926.822938456138,2,high,1,medium,"high trees, medium pop"
114,7.518671398537539,5642.614239036861,0,low,2,high,"low trees, high pop"
115,56.87911532431602,958.3164874041784,2,high,0,low,"high trees, low pop"
116,53.531695275681145,1075.2528421739155,2,high,0,low,"high trees, low pop"
117,37.687775694745454,4211.371190993723,1,medium,2,high,"medium trees, high pop"
118,27.296889172741928,6435.889950935513,0,low,2,high,"low trees, high pop"
119,61.901950357022315,3202.777487940124,2,high,1,medium,"high trees, medium pop"
120,46.03547699121635,3972.696255594609,2,high,2,high,"high trees, high pop"
121,50.49460551427859,3999.050917714775,2,high,2,high,"high trees, high pop"
122,47.96024967464583,1869.0171641827876,2,high,1,medium,"high trees, medium pop"
123,22.25975939373875,930.4487717379252,0,low,0,low,"low trees, low pop"
124,13.22824487566083,1334.3964516798512,0,low,0,low,"low trees, low pop"
125,41.18150442458272,2975.5842399958005,1,medium,1,medium,"medium trees, medium pop"
126,31.14854138634393,4828.135718270377,1,medium,2,high,"medium trees, high pop"
127,63.51291887490531,1392.9307126632948,2,high,0,low,"high trees, low pop"
128,22.50382328550884,1358.3968693885004,0,low,0,low,"low trees, low pop"
129,33.61566522132115,3924.912147997641,1,medium,2,high,"medium trees, high pop"
130,30.85471605462044,533.3544311735925,0,low,0,low,"low trees, low pop"
131,52.745811242498306,2609.424313756881,2,high,1,medium,"high trees, medium pop"
132,11.18773846821218,320.1220066562368,0,low,0,low,"low trees, low pop"
133,0.05009689058927485,88.43538149852378,0,low,0,low,"low trees, low pop"
134,55.60509107295209,1807.7450602522665,2,high,1,medium,"high trees, medium pop"
