max_threshold,"Bangkok, Thailand","Beijing, China","Cebu City, Philippines","Chongqing, China","Colombo, Sri Lanka","Delhi [New Delhi], India","Dhaka, Bangladesh","Guangzhou, China","Hanoi, Vietnam","Hiroshima, Japan","Hong Kong, China","Jakarta, Indonesia","Kabul, Afghanistan","Karachi, Pakistan","Kuala Lumpur, Malaysia","Mandalay, Myanmar","Mumbai, India","Osaka [Kyoto], Japan","Quezon City [Manila], Philippines","Shanghai, China","Tehran, Iran","Tokyo, Japan","Xi'an, China","Yangon, Myanmar","Zhuhai, China"
2,0.017550544311285027,0.013549373061553717,0.06242749797404592,0.005219354617213625,0.007478135070481373,0.25485759804772723,0.24512917127220366,0.10437504072542522,0.12241239326789023,0.31862178087405674,0.07068286405396806,0.06656360620800544,0.5619348930233355,0.8011443690023947,0.005821515628465017,0.022097204422168257,0.0058485919770886454,0.5664822144500107,0.11892226747416428,0.07604487936327547,0.6553134743371726,0.3666942949809256,0.18631436120774955,0.0017064850854208722,0.09902810322435358
4,0.07898417962235019,0.03366442795181202,0.040990405342465466,0.01107449229844422,0.006291338886603958,0.1610559333152547,0.11145596265114839,0.1624539002822603,0.16436728195981926,0.0743553491810245,0.07330312390741567,0.09370009333110992,0.24883370965874602,0.12450162847085408,0.04065499110173375,0.11811202779541811,0.013341514038010501,0.13148293267334618,0.11254145371361587,0.1453596385200138,0.14686611391135923,0.1738131715330416,0.2536722546524148,0.03800382748256718,0.1769522716054958
6,0.1275225324152459,0.050025211240698614,0.07679252004723813,0.02536529655338284,0.02768202287925642,0.12755551102456553,0.0777209611379474,0.13165269006093036,0.209611307070939,0.05530255776120536,0.053416855018047,0.09870080017098258,0.09308451562563859,0.037868055410935575,0.08152662658073086,0.08675986180149156,0.024788085813238957,0.06110726945368194,0.10916434168558652,0.1705633265650686,0.07602133713944904,0.11374042680794105,0.2244530885654614,0.039615962689624605,0.17661069274936722
8,0.15692737382538927,0.0804874312563197,0.041246198115386094,0.010329111976971063,0.03239534804013354,0.08537105076269474,0.0636884442471425,0.12261371927856865,0.14878496370598646,0.0598177239951906,0.07368193857895221,0.1084079526149355,0.021446627271777013,0.01848798366907851,0.11575022986753727,0.11857618349400957,0.028235147086649363,0.04205704268918826,0.1001784688544055,0.1460535622367965,0.044453430863795364,0.08380836293463466,0.1151058371044568,0.03669264919822099,0.08575027224063042
10,0.16466310096098813,0.09862222142653135,0.07938580818874254,0.05048022856395767,0.03458364804101427,0.07248366870582164,0.04619111159642632,0.1018528549475107,0.10839213120503918,0.0478312351394652,0.04077248744906413,0.09535768850004553,0.015787230421038283,0.0068941620428285355,0.11368697019189251,0.07868325293596308,0.038960127037090786,0.03272284308827036,0.08902276079809468,0.133751557985665,0.023731025607654346,0.060134256126565505,0.07378599428554689,0.041729298992540256,0.11229128535446951
12,0.11821324603116201,0.11161919073556167,0.07837590099976559,0.059001045227616206,0.03534657752319775,0.05689022904370281,0.06153512259771681,0.07359325268883143,0.09028689329820247,0.04641519756788053,0.08664634840670672,0.077506416907763,0.021053026988533726,0.004122907069312224,0.10821352774499822,0.08281705437479414,0.047253766230236034,0.025641094754170972,0.07448692001314355,0.08661033201740354,0.017638810182829007,0.039526490536722934,0.04628922043148296,0.07579067572659383,0.04765760334871051
14,0.10172703254166872,0.10093172054037966,0.058122053194373566,0.08908370963760397,0.0361039187257025,0.047154083923615094,0.033054741890666664,0.054563948489746855,0.05379912834254199,0.02871924479119976,0.04834018237329575,0.0841905077671914,0.016723203483294466,0.0023950754518289852,0.07927665129339025,0.034293349250541616,0.05997261526603662,0.018423486562364397,0.05324067606634865,0.06273514266297141,0.01044862022509547,0.031245289663081967,0.048044875189850754,0.07147442554473976,0.0613014058264894
16,0.07957089207175033,0.10384274115367986,0.05634175526972986,0.09398319919618582,0.04937975226904167,0.03533159447976043,0.041102041275373064,0.03974098356172758,0.027989721687124932,0.046425037790755165,0.040295886820864255,0.058403106605605284,0.0044809092207437964,0.0033746109683416275,0.07910866970279523,0.1052584464107006,0.05539871966795585,0.014641407471181821,0.05308011762584416,0.038113544730387534,0.008886689397765267,0.02588866991653113,0.0216993106747535,0.06594207677145268,0.02342402976828399
18,0.05317281094617546,0.08420254805712699,0.062001064305520916,0.0759603306417402,0.034249360214443206,0.03737061533949761,0.02639452532633592,0.03463285287173324,0.024508857435221243,0.033368671864801074,0.04418985130103231,0.05671829463403251,0.0069266991069537945,0.00038266002441454824,0.05372956985848929,0.05777795432321317,0.05826387703130776,0.013674706608781511,0.04653192106405408,0.04597387426937878,0.004899404217775952,0.020605568706462497,0.01857050748879214,0.08024067884266686,0.040835525852250136
20,0.034087729340963005,0.06016333281635996,0.07395058346209155,0.06985586808673526,0.03273123286193033,0.029254297769470493,0.028740411578054802,0.02827206029979127,0.01715669353229253,0.027554854014041497,0.05456032732826176,0.04829718245378799,0.00023118155660845833,8.818968986603186e-05,0.05646838860532234,0.024582587096496224,0.06849389621172382,0.010582960712151363,0.045211527216786854,0.03220842684652241,0.002855482496826155,0.017850043820329346,0.002784563921738176,0.05896090436807347,0.011931520474644531
