city_name,UC_NM_MN,CTR_MN_NM,pop_ft_pct,upper,lower,continent,order,position
"Kinshasa, Democratic Republic of the Congo",Kinshasa,Democratic Republic of the Congo,0.14192965880083092,6,4,Africa,0,-0.5
"Dakar, Senegal",Dakar,Senegal,0.9549796207034019,2,0,Africa,0,-0.5
"Conakry, Guinea",Conakry,Guinea,0.5036074589734153,2,0,Africa,0,-0.43333333333333335
"Casablanca, Morocco",Casablanca,Morocco,0.8638991422480617,2,0,Africa,0,-0.3666666666666667
"Accra, Ghana",Accra,Ghana,0.7338167159446046,2,0,Africa,0,-0.3
"Algiers, Algeria",Algiers,Algeria,0.31029224517405196,2,0,Africa,0,-0.23333333333333334
"Porto-Novo, Benin",Porto-Novo,Benin,0.3233383942419267,2,0,Africa,0,-0.16666666666666669
"Lagos, Nigeria",Lagos,Nigeria,0.8689621861636232,2,0,Africa,0,-0.09999999999999998
"Tripoli, Libya",Tripoli,Libya,0.5088601471237036,2,0,Africa,0,-0.033333333333333326
"Luanda, Angola",Luanda,Angola,0.6630758259746189,2,0,Africa,0,0.033333333333333326
"Johannesburg, South Africa",Johannesburg,South Africa,0.5477667881996691,2,0,Africa,0,0.09999999999999998
"N'Djamena, Chad",N'Djamena,Chad,0.7587716175397979,2,0,Africa,0,0.16666666666666663
"Durban, South Africa",Durban,South Africa,0.11011030138410212,12,10,Africa,0,0.0
"Cairo, Egypt",Cairo,Egypt,0.8322759678745563,2,0,Africa,0,0.23333333333333328
"Kigali, Rwanda",Kigali,Rwanda,0.1410688583674988,6,4,Africa,0,0.0
"Maputo, Mozambique",Maputo,Mozambique,0.3238710330728605,2,0,Africa,0,0.30000000000000004
"Juba, South Sudan",Juba,South Sudan,0.3605882308483788,4,2,Africa,0,0.0
"Khartoum, Sudan",Khartoum,Sudan,0.963118306660067,2,0,Africa,0,0.3666666666666667
"Kampala, Uganda",Kampala,Uganda,0.14058751940491723,16,14,Africa,0,0.0
"Dodoma, Tanzania",Dodoma,Tanzania,0.33405296063718026,2,0,Africa,0,0.43333333333333335
"Nairobi, Kenya",Nairobi,Kenya,0.24479767932637198,6,4,Africa,0,0.5
"Addis Ababa, Ethiopia",Addis Ababa,Ethiopia,0.21173510882650354,8,6,Africa,0,0.0
"Lusaka, Zambia",Lusaka,Zambia,0.44371891240696065,2,0,Africa,0,0.5
"Asuncion, Paraguay",Asuncion,Paraguay,0.10853802344032512,28,26,Americas,2,2.0
"São Paulo, Brazil",São Paulo,Brazil,0.21527511182048767,4,2,Americas,2,1.5
"Montevideo, Uruguay",Montevideo,Uruguay,0.22277161611466076,4,2,Americas,2,1.6666666666666665
"Buenos Aires, Argentina",Buenos Aires,Argentina,0.19923100728393944,4,2,Americas,2,1.8333333333333333
"Portland, United States",Portland,United States,0.09513436217257344,26,24,Americas,2,2.0
"San Jose, United States",San Jose,United States,0.1608045283824669,6,4,Americas,2,1.5
"New York, United States",New York,United States,0.09313487206950477,4,2,Americas,2,2.0
"Phoenix, United States",Phoenix,United States,0.3809790087439195,4,2,Americas,2,2.1666666666666665
"Ciudad Juárez, Mexico",Ciudad Juárez,Mexico,0.7779646043112459,2,0,Americas,2,1.5
"Anchorage, United States",Anchorage,United States,0.13274142523624724,24,22,Americas,2,1.5
"Guatemala City, Guatemala",Guatemala City,Guatemala,0.08317500857064151,8,6,Americas,2,1.5
"San Salvador, El Salvador",San Salvador,El Salvador,0.08466251130286033,12,10,Americas,2,1.5
"Dallas, United States",Dallas,United States,0.06445112160623706,22,20,Americas,2,2.0
"Tegucigalpa, Honduras",Tegucigalpa,Honduras,0.18153052551146653,8,6,Americas,2,2.5
"Managua, Nicaragua",Managua,Nicaragua,0.1312750422790651,12,10,Americas,2,1.75
"San José, Costa Rica",San José,Costa Rica,0.10468253316051965,12,10,Americas,2,2.0
"New Orleans, United States",New Orleans,United States,0.14907753118549477,12,10,Americas,2,2.25
"Boston, United States",Boston,United States,0.07062690681738211,14,12,Americas,2,2.0
"Quito, Ecuador",Quito,Ecuador,0.32793139581392533,2,0,Americas,2,1.6666666666666665
"Havana, Cuba",Havana,Cuba,0.11562203923669077,12,10,Americas,2,2.5
"Lima, Peru",Lima,Peru,0.7979209525651735,2,0,Americas,2,1.8333333333333333
"Nashville, United States",Nashville,United States,0.08216279167775041,38,36,Americas,2,2.0
"Panama City, Panama",Panama City,Panama,0.15165713439002365,4,2,Americas,2,2.333333333333333
