city_id,tr_pct_bin,pop_ft,pop_ft_pct,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,continent,INCM_CMI
10.0,"[0.0, 0.02)",535863.397407369,0.11369072483355755,San Jose,United States,USA,Americas,HIC
10.0,"[0.02, 0.04)",696202.7302295296,0.14770890009254525,San Jose,United States,USA,Americas,HIC
10.0,"[0.04, 0.06)",757926.9199283373,0.1608045283824669,San Jose,United States,USA,Americas,HIC
10.0,"[0.06, 0.08)",617455.1517665208,0.13100152780762533,San Jose,United States,USA,Americas,HIC
10.0,"[0.08, 0.1)",467465.0309516322,0.09917907895998725,San Jose,United States,USA,Americas,HIC
10.0,"[0.1, 0.12)",387384.6151140106,0.08218892705634707,San Jose,United States,USA,Americas,HIC
10.0,"[0.12, 0.14)",239371.52023126525,0.05078593121170864,San Jose,United States,USA,Americas,HIC
10.0,"[0.14, 0.16)",227708.77002222082,0.048311519764249786,San Jose,United States,USA,Americas,HIC
10.0,"[0.16, 0.18)",138120.383524966,0.029304122269252053,San Jose,United States,USA,Americas,HIC
10.0,"[0.18, 0.2)",90693.24562499413,0.01924180842076612,San Jose,United States,USA,Americas,HIC
10.0,"[0.2, 0.22)",104164.58014696505,0.022099935685453855,San Jose,United States,USA,Americas,HIC
10.0,"[0.22, 0.24)",63214.06497921161,0.01341172564115002,San Jose,United States,USA,Americas,HIC
10.0,"[0.24, 0.26)",62576.6146131251,0.013276481856042792,San Jose,United States,USA,Americas,HIC
10.0,"[0.26, 0.28)",64408.49504858725,0.013665140263248344,San Jose,United States,USA,Americas,HIC
10.0,"[0.28, 0.3)",49464.27061615684,0.010494519325116308,San Jose,United States,USA,Americas,HIC
10.0,"[0.3, 0.32)",20695.21003391028,0.004390770932893759,San Jose,United States,USA,Americas,HIC
10.0,"[0.32, 0.34)",35679.32435981496,0.0075698550557190694,San Jose,United States,USA,Americas,HIC
10.0,"[0.34, 0.36)",27677.103901651182,0.00587207489650633,San Jose,United States,USA,Americas,HIC
10.0,"[0.36, 0.38)",25119.465146029364,0.005329436967892615,San Jose,United States,USA,Americas,HIC
10.0,"[0.38, 0.4)",16978.63673034488,0.00360224924094065,San Jose,United States,USA,Americas,HIC
10.0,"[0.4, 0.42)",23605.60858284548,0.005008251660601375,San Jose,United States,USA,Americas,HIC
